invert_x,norm_row_y,head,soilMUSYM,soilkSat_1,soilOM_R_1
46,54,483.4698,SaD,85.1974,0.54
40,3,479.8374,PeC,64.7321,0.51
7,2,479.3005,PeC,64.7321,0.51
12,5,481.3488,PeC,64.7321,0.51
44,5,479.3579,PeC,64.7321,0.51
12,9,481.8227,PeC,64.7321,0.51
18,8,481.8481,PeC,64.7321,0.51
31,8,481.1412,PeC,64.7321,0.51
42,10,479.9482,PeC,64.7321,0.51
68,22,474.8629,PeC,64.7321,0.51
28,18,482.4024,PeC,64.7321,0.51
84,31,474.6408,KnC,100.6514,0.96
93,59,477.1552,KnC,100.6514,0.96
9,1,479.4937,Au,90.8356,2.39
3,3,478.8935,Au,90.8356,2.39
74,0,470.1859,SaD,85.1974,0.54
71,3,470.4319,SaD,85.1974,0.54
45,0,478.8363,KeC,23.6776,0.5
47,3,478.6475,KeC,23.6776,0.5
105,19,467.933,KeC,23.6776,0.5
94,14,470.3877,KeB,23.6776,0.5
84,13,471.6358,KeB,23.6776,0.5
95,21,471.3065,KeB,23.6776,0.5
107,44,473.334,KeB,23.6776,0.5
59,28,478.2465,PeC,64.7321,0.51
54,23,478.6869,PeC,64.7321,0.51
1,40,485.3854,PeC,64.7321,0.51
68,26,475.7486,PeC,64.7321,0.51
43,43,482.8261,PeC,64.7321,0.51
23,41,484.8192,PeC,64.7321,0.51
54,5,477.1516,KeD,23.6776,0.5
63,6,474.0769,KeD,23.6776,0.5
97,11,469.2891,KeD,23.6776,0.5
80,6,470.9916,KeD,23.6776,0.5
94,25,472.1973,KeD,23.6776,0.5
33,58,485.1246,KeD,23.6776,0.5
52,58,482.9495,VsB,91.6606,0.67
19,28,483.5306,PeD,64.7321,0.51
37,27,482.097,PeD,64.7321,0.51
44,38,482.1254,PeD,64.7321,0.51
62,36,479.1862,PeD,64.7321,0.51
5,44,485.7521,PeD,64.7321,0.51
39,53,484.2544,PeD,64.7321,0.51
0,35,484.7372,PeD,64.7321,0.51
54,14,477.8373,PeD,64.7321,0.51
32,14,481.5843,PeD,64.7321,0.51
107,10,466.0566,PeD,64.7321,0.51
36,18,481.4509,PeD,64.7321,0.51
47,11,479.172,PeD,64.7321,0.51
63,26,477.0498,KnB,53.7304,0.9
92,29,473.2512,KnB,53.7304,0.9
26,46,485.0067,KnB,53.7304,0.9
71,6,471.9518,KrD,94.732,0.99
67,14,473.625,KrD,94.732,0.99
76,15,472.2256,KrD,94.732,0.99
44,19,480.3257,KrD,94.732,0.99
28,51,485.1765,KrD,94.732,0.99
109,53,474.2657,KrD,94.732,0.99
89,59,477.7121,KrD,94.732,0.99
108,17,466.0521,MoB,9,0.53
108,9,465.5613,Cb,34.0391,57.56
92,12,470.4623,KnC,100.6514,0.96
76,20,473.0725,KnC,100.6514,0.96
104,16,467.833,Cb,34.0391,57.56
70,8,471.9078,Cb,34.0391,57.56
62,56,481.6323,Cb,34.0391,57.56
69,20,473.8889,KnC,100.6514,0.96
66,32,477.4474,KnC,100.6514,0.96
57,29,478.7255,KnC,100.6514,0.96
56,41,480.693,KnC,100.6514,0.96
52,45,481.7837,KnC,100.6514,0.96
102,44,474.1945,KnC,100.6514,0.96
28,0,480.8269,PaB,46.1316,0.86
76,1,470.392,PaB,46.1316,0.86
36,8,480.5958,PaB,46.1316,0.86
43,11,479.8662,PaB,46.1316,0.86
51,15,478.6294,PaB,46.1316,0.86
5,29,484.0331,PaB,46.1316,0.86
